state,abbr,tax_2011,tax_2017,delta_tax,num_of_preemptions,bar_restrictions,work_restrictions,restaurant_restrictions,funding_per_capita,expenditures_per_capita,percent_funding_used,fee_for_service_plans,managed_care_plans,quitline_calls_per_10000,region,division,year,percent
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2015,25.9
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2014,26.2
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2013,26.5
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2012,28.3
Kentucky,KY,0.6,0.6,0,2,None,None,None,1.08,0.9,83.33333333333333,Yes,Yes,4.225,South,East South Central,2011,29
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2017,23.1
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2016,22.8
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2015,21.9
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2014,24
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2013,23.5
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2012,24.8
Louisiana,LA,0.36,1.08,0.7200000000000001,2,None,Banned,Banned,2.08,1.82,87.5,No,No,11.325,South,West South Central,2011,25.7
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2017,17.3
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2016,19.8
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2015,19.5
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2014,19.3
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2013,20.2
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2012,20.3
Maine,ME,2,2,0,0,Banned,Banned,Banned,7.27,6.72,92.43466299862449,Yes,Not Applicable,20.9,Northeast,New England,2011,22.8
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2017,13.8
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2016,13.7
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2015,15.1
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2014,14.6
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2013,16.4
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2012,16.2
Maryland,MD,2,2,0,1,Banned,Banned,Banned,1.81,1.72,95.02762430939227,No,Not Applicable,11.8,South,South Atlantic,2011,19.1
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2017,13.7
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2016,13.6
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2015,14
Massachusetts,MA,2.51,3.51,1,1,Banned,Banned,Banned,0.97,1.18,121.64948453608248,Yes,Yes,2.15,Northeast,New England,2014,14.7
